ID,Text,Comment
Faction.Wardens.DisplayName,The Wardens,Name of the faction
Faction.Wardens.Description,"Machines stranded in a poisoned wasteland. They run on badwater, their industry kills the soil, and the only thing they value is Data. Their purpose: make the land livable for beavers again, and remember enough to bring back the ones who came before.",Description of the faction
Faction.Wardens.WonderCompletionMessage,The Ark is complete.,Wonder completion message
Faction.Wardens.WonderCompletionFlavor,"Every observation, every failure, every season of green: archived. The Wardens spend it all on a single question. What if the old ones came back?",Wonder completion flavor
Good.DataCore.DisplayName,Data Core,Item name
Good.DataCore.PluralDisplayName,Data Cores,Plural item name
Good.Firmware.DisplayName,Firmware,Item name
Good.Firmware.PluralDisplayName,Firmware,Plural item name
Need.Calibration.DisplayName,Calibration,Bot need
Need.Telemetry.DisplayName,Telemetry,Bot need
Need.Uplink.DisplayName,Uplink,Bot need
Wardens.Chat.Title,WARDENS UPLINK,In-game chat panel title
Wardens.Chat.Send,Send,Chat send button
Wardens.Chat.Hint,Type here to talk to the agent. Enter sends.,Chat placeholder
Building.Core.DisplayName,The Core,Wardens district center
Building.Core.Description,"District center and reactor. Every Warden reports here, and the Core's 150 hp of power runs the first machines.",
Building.Core.FlavorDescription,It was never meant to run this long. It has not stopped.,
Building.ChargingPost.DisplayName,Charging Post,Wardens charging station
Building.ChargingPost.Description,A Warden standing here recharges. Needs 50 hp of power.,
Building.ChargingPost.FlavorDescription,Power is life.,
Building.Cruncher.DisplayName,The Cruncher,Wardens research building
Building.Cruncher.Description,"Turns power into Science Points, or Badwater and Scrap Metal into Data Cores. Never both.",
Building.Cruncher.FlavorDescription,Research burns power. Choose what to think about.,
Building.SludgeBurner.DisplayName,Sludge Burner,Wardens generator
Building.SludgeBurner.Description,Burns Biomass from Sludge Reed for 200 hp of power. Poisons the ground around it.,
Building.SludgeBurner.FlavorDescription,The first ecological debt. It will not be the last.,
Building.ReedBed.DisplayName,Reed Bed,Wardens farmhouse
Building.ReedBed.Description,"Plants and harvests Sludge Reed, the only crop that grows in poisoned soil.",
Building.ReedBed.FlavorDescription,Something grows here. Nobody said it had to be pretty.,
NaturalResource.SludgeReed.DisplayName,Sludge Reed,Wardens crop
NaturalResource.SludgeReed.FlavorDescription,Thrives on contamination. Harvested for Biomass.,
Good.Biomass.DisplayName,Biomass,Wardens fuel
Good.Biomass.PluralDisplayName,Biomass,"Wardens fuel, plural"
Building.WardensPod.DisplayName,Breeding Pod,Wardens pod
Building.WardensPod.Description,Grows a new beaver from Biomass. Needs 100 hp of power. The pod the Iron Teeth will inherit.,
Building.WardensPod.FlavorDescription,The first thing the Wardens ever built for someone else.,
Building.WardensAdvancedPod.DisplayName,Advanced Breeding Pod,Wardens pod
Building.WardensAdvancedPod.Description,Grows an adult beaver from Biomass and Firmware. Needs 150 hp of power.,
Building.WardensAdvancedPod.FlavorDescription,It comes out knowing things. Nobody is sure that is a kindness.,
Building.SludgePump.DisplayName,Sludge Pump,Wardens badwater pump
Building.SludgePump.Description,"Pumps Badwater, the only liquid this land has to offer. Wardens work it without complaint.",
Building.SludgePump.FlavorDescription,Do not drink. Nobody here drinks.,
Building.BadwaterCell.DisplayName,Badwater Cell,Wardens early generator
Building.BadwaterCell.Description,"Burns Badwater for 100 hp of power. Cheap, dirty, and the first thing that keeps the lights on.",
Building.BadwaterCell.FlavorDescription,The Wardens run on badwater. So does everything they build.,
Building.Planter.DisplayName,Planter Rig,Wardens forester
Building.Planter.Description,Plants trees and bushes in its range. Nothing grows here yet; one day it will.,
Building.Planter.FlavorDescription,"Directive 2, in hardware.",
Building.Rack.DisplayName,Crate Rack,Wardens small warehouse
Building.Rack.Description,"Stores one kind of boxed good, Biomass included. Set the good after selecting the rack.",
Building.Rack.FlavorDescription,Everything in its place. The Wardens like it that way.,
Building.HaulerDock.DisplayName,Hauler Dock,Wardens hauling post
Building.HaulerDock.Description,Wardens stationed here carry goods around the district wherever they are needed.,
Building.HaulerDock.FlavorDescription,Someone has to carry it. Nobody said it had to be the builder.,
Building.Deck.DisplayName,Observation Deck,Wardens rooftop terrace
Building.Deck.Description,"A place to stand and look at the land. Beavers gather here, and their well-being rises.",
Building.Deck.FlavorDescription,Directive 3: record everything. The view is part of the record.,
Building.BuildersHut.DisplayName,Builders Hut,
Building.BuildersHut.Description,Wardens report here between construction jobs.,
Building.BuildersHut.FlavorDescription,"Directive 1, staffed.",
Building.DistrictCrossing.DisplayName,District Crossing,
Building.DistrictCrossing.Description,Extends the building range of two neighboring districts across a shared border.,
Building.DistrictCrossing.FlavorDescription,The map doesn't care where the line is. Neither do we.,
Building.DistrictGate.DisplayName,District Gate,
Building.DistrictGate.Description,Lets Wardens and goods pass between districts without breaking the range.,
Building.DistrictGate.FlavorDescription,"One settlement, however many lines we draw on it.",
Building.GeothermalEngine.DisplayName,Geothermal Engine,
Building.GeothermalEngine.Description,"Draws power from heat deep in the wasteland. No fuel, no pollution, no rest.",
Building.GeothermalEngine.FlavorDescription,The ground was already burning. We just gave it somewhere to put the heat.,
Building.GravityBattery.DisplayName,Gravity Battery,
Building.GravityBattery.Description,"Stores power by lifting weight, releases it by lowering. No chemistry, no decay.",
Building.GravityBattery.FlavorDescription,It forgets nothing and it forgives nothing. Physics rarely does.,
Building.GravityBatteryGantry.DisplayName,Gravity Battery (Gantry),
Building.GravityBatteryGantry.Description,"A lighter gravity battery built onto a scaffold, for districts with less to spend.",
Building.GravityBatteryGantry.FlavorDescription,"Smaller counterweight, same patience.",
Building.GravityBatteryGantryII.DisplayName,Gravity Battery (Gantry II),
Building.GravityBatteryGantryII.Description,"A taller gravity battery, more capacity than the standard gantry model.",
Building.GravityBatteryGantryII.FlavorDescription,The fall is longer. So is the power it hands back.,
Building.LargeWindmill.DisplayName,Large Windmill,
Building.LargeWindmill.Description,A high-capacity windmill. Needs clear air and a tall mount.,
Building.LargeWindmill.FlavorDescription,Wind doesn't pollute. It also doesn't show up on schedule.,
Building.PowerDam.DisplayName,Power Dam,
Building.PowerDam.Description,A dam that generates power from the water it holds back.,
Building.PowerDam.FlavorDescription,"Two jobs, one wall.",
Building.PowerLevee.DisplayName,Power Levee,
Building.PowerLevee.Description,"A power shaft built into a levee, carrying power across a barrier.",
